Bauxite_destination_m,Bauxite_source_m,Bauxite_tonnes_m,Alumina_destination_m,Alumina_source_m,Alumina_tonnes_m,Bauxite_destination_x,Bauxite_source_x,Bauxite_tonnes_x,Alumina_destination_x,Alumina_source_x,Alumina_tonnes_x,Bauxite_local_country,Bauxite_local_tonnes,country1,avg_co2_kg_per_kwh,country2,energy_kwh_per_t
,,,France,Spain,41386895,,,,USA,Saudi Arabia,2494965,,,,,,
,,,France,Jamaica,30133000,,,,USA,Peru,2288281,,,,,,
,,,France,USA,10607434.5,,,,USA,Brazil,2273851,,,,,,
,,,France,China,9468515.7,,,,USA,Denmark,1909492.9,,,,,,
,,,France,Italy,5693645,,,,USA,Bangladesh,1292760,,,,,,
,,,France,Netherlands,4812536,,,,USA,Argentina,1213794,,,,,,
,,,France,Bosnia Herzegovina,4160247.3,,,,USA,United Kingdom,1095098,,,,,,
,,,France,Belgium,3816996.5,,,,USA,Sweden,1049703,,,,,,
,,,France,Slovenia,3167731,,,,USA,Bulgaria,931600,,,,,,
,,,France,United Kingdom,2957480.5,,,,USA,Spain,920127,,,,,,
,,,France,Guinea,2755800,,,,USA,Italy,917375,,,,,,
,,,France,Australia,2276012.2,,,,USA,United Arab Emirates,907753,,,,,,
,,,France,Austria,1168050,,,,USA,Kazakhstan,765890,,,,,,
,,,France,Canada,930260.3,,,,USA,Thailand,536373,,,,,,
,,,France,France,861234,,,,USA,Türkiye,520426,,,,,,
,,,France,Hungary,750040,,,,USA,Hungary,449362.1,,,,,,
,,,France,Switzerland,344312.9,,,,USA,Costa Rica,399609,,,,,,
,,,France,Luxembourg,235200,,,,USA,Colombia,372719,,,,,,
,,,France,Ukraine,208052,,,,USA,South Africa,315602,,,,,,
,,,France,Rep. of Korea,185954.2,,,,USA,Singapore,277833.9,,,,,,
,,,France,Bulgaria,168900,,,,USA,Ireland,277150.6,,,,,,
,,,France,"Areas, nes",155143.4,,,,USA,Indonesia,228751,,,,,,
,,,France,Bahrain,108412.1,,,,USA,Chile,201625.6,,,,,,
,,,Germany,Netherlands,325155147,,,,USA,Switzerland,197369,,,,,,
,,,Germany,China,84741667.1,,,,USA,Norway,174882,,,,,,
,,,Germany,Spain,69167485,,,,USA,Malaysia,171690.1,,,,,,
,,,Germany,Brazil,44116174,,,,USA,Trinidad and Tobago,167490,,,,,,
,,,Germany,Slovenia,28270518,,,,USA,Egypt,139281,,,,,,
,,,Germany,France,23318940,,,,USA,Austria,107051.1,,,,,,
,,,Germany,Bosnia Herzegovina,22581145.7,,,,USA,Australia,102824,,,,,,
,,,Germany,Austria,18843600,,,,USA,Qatar,97759,,,,,,
,,,Germany,Hungary,15861687,,,,Canada,USA,118015476,,,,,,
,,,Germany,Greece,13729050,,,,Canada,India,5860282,,,,,,
,,,Germany,Luxembourg,9979710,,,,Canada,Germany,3239793,,,,,,
,,,Germany,Italy,9959094,,,,Canada,Rep. of Korea,2678064,,,,,,
,,,Germany,Ukraine,5683557,,,,Canada,Uzbekistan,1789800,,,,,,
,,,Germany,USA,5496401.8,,,,Canada,Brazil,1780897,,,,,,
,,,Germany,Australia,2206952.7,,,,Canada,Japan,1392153,,,,,,
,,,Germany,India,2161648.3,,,,Canada,Saudi Arabia,1385590,,,,,,
,,,Germany,Belgium,2057222,,,,Canada,France,1206735,,,,,,
,,,Germany,Japan,1936170.7,,,,Canada,Nigeria,1008134,,,,,,
,,,Germany,Rep. of Korea,1539460,,,,Canada,United Arab Emirates,969809,,,,,,
,,,Germany,Bahrain,1482200,,,,Canada,Slovenia,515230,,,,,,
,,,Germany,Latvia,1012850,,,,Canada,China,466576,,,,,,
,,,Germany,Switzerland,674350,,,,Canada,Netherlands,395354,,,,,,
,,,Germany,Singapore,645420,,,,Canada,"Other Asia, nes",243057,,,,,,
,,,Germany,Denmark,623982,,,,Canada,Finland,104814,,,,,,
,,,Germany,United Kingdom,532327.1,,,,Japan,China,26919339,,,,,,
,,,Germany,Russian Federation,526000,,,,Japan,Rep. of Korea,11781353,,,,,,
,,,Germany,Czechia,321957.5,,,,Japan,"Other Asia, nes",9923125,,,,,,
,,,Germany,Slovakia,277050,,,,Japan,USA,5534142,,,,,,
,,,Germany,Poland,104656.5,,,,Japan,Thailand,5284534,,,,,,
,,,Greece,China,734662,,,,Japan,Brazil,2734061,,,,,,
,,,Greece,Netherlands,619031,,,,Japan,Malaysia,2174820,,,,,,
,,,Greece,Rep. of Korea,400000,,,,Japan,India,1949033,,,,,,
,,,Greece,Austria,357700,,,,Japan,Germany,1481487,,,,,,
,,,Greece,Türkiye,240000,,,,Japan,Viet Nam,1160125,,,,,,
,,,Greece,Slovenia,169200,,,,Japan,Netherlands,1108310,,,,,,
,,,Greece,Bosnia Herzegovina,100000,,,,Japan,Belgium,774426,,,,,,
,,,Norway,Brazil,2044349680,,,,Japan,Indonesia,659282,,,,,,
,,,Norway,Spain,398076100,,,,Japan,Singapore,455444,,,,,,
,,,Norway,Germany,139598738,,,,Japan,Sweden,322400,,,,,,
,,,Norway,Netherlands,15752542,,,,Japan,Philippines,260644,,,,,,
,,,Norway,United Kingdom,13969576,,,,Japan,Bahrain,227375,,,,,,
,,,Norway,China,974043,,,,Japan,United Arab Emirates,200000,,,,,,
,,,Norway,Bosnia Herzegovina,248994,,,,Japan,Norway,180000,,,,,,
,,,Norway,USA,224310,,,,Japan,"China, Hong Kong SAR",148892,,,,,,
,,,Norway,Japan,180000,,,,Japan,Australia,142800,,,,,,
,,,Sweden,Ireland,181006000,,,,Japan,Slovenia,110140,,,,,,
,,,Sweden,Spain,41892000,,,,Japan,Austria,101000,,,,,,
,,,Sweden,Germany,38288018.3,,,,Rep. of Korea,Japan,43060381,,,,,,
,,,Sweden,Greece,16794320.7,,,,Rep. of Korea,China,21291035,,,,,,
,,,Sweden,Finland,4506174.5,,,,Rep. of Korea,Italy,7261705.8,,,,,,
,,,Sweden,Hungary,2241000,,,,Rep. of Korea,"Other Asia, nes",3617847.8,,,,,,
,,,Sweden,France,1654154,,,,Rep. of Korea,Thailand,3153380,,,,,,
,,,Sweden,Austria,1466412.6,,,,Rep. of Korea,Viet Nam,3120801,,,,,,
,,,Sweden,USA,1149383.8,,,,Rep. of Korea,New Zealand,2680000,,,,,,
,,,Sweden,Netherlands,978536.1,,,,Rep. of Korea,Indonesia,2673396,,,,,,
,,,Sweden,Italy,868000,,,,Rep. of Korea,USA,2057966.5,,,,,,
,,,Sweden,Luxembourg,706000,,,,Rep. of Korea,Spain,1764001,,,,,,
,,,Sweden,United Kingdom,704371.2,,,,Rep. of Korea,Netherlands,1217100,,,,,,
,,,Sweden,Denmark,488299.4,,,,Rep. of Korea,Poland,641911,,,,,,
,,,Sweden,China,411282.1,,,,Rep. of Korea,Malaysia,619989.9,,,,,,
,,,Sweden,Japan,295796.1,,,,Rep. of Korea,Greece,380000,,,,,,
,,,Sweden,Slovenia,258810.3,,,,Rep. of Korea,Pakistan,360000,,,,,,
,,,Italy,Greece,123161300,,,,Rep. of Korea,India,336692.7,,,,,,
,,,Italy,Germany,68453138,,,,Rep. of Korea,Saudi Arabia,294400,,,,,,
,,,Italy,Bosnia Herzegovina,51385700,,,,Rep. of Korea,Australia,236878.4,,,,,,
,,,Italy,Slovenia,25767960,,,,Rep. of Korea,France,187659,,,,,,
,,,Italy,Spain,23324829,,,,Rep. of Korea,Türkiye,172602.1,,,,,,
,,,Italy,China,23316225,,,,Rep. of Korea,Mexico,168840,,,,,,
,,,Italy,France,14313526,,,,Rep. of Korea,United Arab Emirates,133721.9,,,,,,
,,,Italy,Hungary,11543460,,,,Rep. of Korea,Hungary,129625,,,,,,
,,,Italy,Austria,11185637,,,,Rep. of Korea,Philippines,118764.5,,,,,,
,,,Italy,India,9114950,,,,Rep. of Korea,Germany,98488.1,,,,,,
,,,Italy,Brazil,6936600,,,,United Kingdom,Italy,1703852,,,,,,
,,,Italy,Rep. of Korea,6800070,,,,United Kingdom,Belgium,1665143,,,,,,
,,,Italy,Türkiye,5928550,,,,United Kingdom,Germany,1486872.5,,,,,,
,,,Italy,Ukraine,4661000,,,,United Kingdom,Ireland,1177749.5,,,,,,
,,,Italy,Netherlands,3733384,,,,United Kingdom,Saudi Arabia,1140945,,,,,,
,,,Italy,Czechia,1656910,,,,United Kingdom,France,1012482,,,,,,
,,,Italy,Slovakia,876660,,,,United Kingdom,Sweden,773946,,,,,,
,,,Italy,USA,703989,,,,United Kingdom,India,722822,,,,,,
,,,Italy,United Kingdom,474137,,,,United Kingdom,Netherlands,565072.6,,,,,,
,,,Italy,Finland,431480,,,,United Kingdom,Czechia,483512,,,,,,
,,,Italy,Belgium,263871,,,,United Kingdom,Portugal,386397,,,,,,
,,,Spain,Germany,36568325.4,,,,United Kingdom,Poland,273926,,,,,,
,,,Spain,France,21939292.3,,,,United Kingdom,Austria,197839,,,,,,
,,,Spain,China,14527918.3,,,,United Kingdom,Hungary,189500,,,,,,
,,,Spain,Greece,5516220,,,,United Kingdom,Norway,183841,,,,,,
,,,Spain,Slovenia,4207621,,,,United Kingdom,South Africa,173871,,,,,,
,,,Spain,Bahrain,3307000,,,,United Kingdom,Spain,165604,,,,,,
,,,Spain,Italy,2913732,,,,United Kingdom,Singapore,151006,,,,,,
,,,Spain,Austria,2065992,,,,United Kingdom,Japan,123822,,,,,,
,,,Spain,Netherlands,1904775.4,,,,Brazil,Canada,3547150115,,,,,,
,,,Spain,Bosnia Herzegovina,1689415,,,,Brazil,Norway,1931289102,,,,,,
,,,Spain,Rep. of Korea,1319401,,,,Brazil,USA,1331544192.2,,,,,,
,,,Spain,USA,934816.5,,,,Brazil,Iceland,664579300,,,,,,
,,,Spain,Hungary,621036.9,,,,Brazil,Argentina,299011307,,,,,,
,,,Spain,Ukraine,473131,,,,Brazil,Japan,266203785,,,,,,
,,,Spain,Luxembourg,445260.5,,,,Brazil,Netherlands,159424243,,,,,,
,,,Spain,Czechia,363868,,,,Brazil,France,60032400,,,,,,
,,,Spain,Türkiye,265079,,,,Brazil,Egypt,60000000,,,,,,
,,,Spain,Mexico,181000,,,,Brazil,India,31615922,,,,,,
,,,Spain,Japan,141329,,,,Brazil,Latvia,31500600,,,,,,
,,,Spain,Belgium,139987,,,,Brazil,Mexico,10514779,,,,,,
,,,Spain,India,123808.3,,,,Brazil,Switzerland,9604731,,,,,,
,,,Bahrain,Australia,2899010000,,,,Brazil,Uruguay,9284826,,,,,,
,,,Bahrain,Indonesia,61695400,,,,Brazil,Italy,6736790,,,,,,
,,,Bahrain,Saudi Arabia,41033600,,,,Brazil,Paraguay,4759883,,,,,,
,,,Bahrain,Japan,214785,,,,Brazil,Spain,4470211,,,,,,
,,,,,,,,,Brazil,Chile,4185964,,,,,,
,,,,,,,,,Brazil,Colombia,3644993,,,,,,
,,,,,,,,,Brazil,Germany,1781370,,,,,,
,,,,,,,,,Brazil,Türkiye,1398500,,,,,,
,,,,,,,,,Brazil,Peru,1397727,,,,,,
,,,,,,,,,Brazil,Poland,1228700,,,,,,
,,,,,,,,,Brazil,China,1190357,,,,,,
,,,,,,,,,Brazil,Austria,1086780,,,,,,
,,,,,,,,,Brazil,Finland,829000,,,,,,
,,,,,,,,,Brazil,Israel,581940,,,,,,
,,,,,,,,,Brazil,United Kingdom,498000,,,,,,
,,,,,,,,,Brazil,Belarus,240000,,,,,,
,,,,,,,,,Brazil,Slovenia,208000,,,,,,
,,,,,,,,,Brazil,Trinidad and Tobago,191575,,,,,,
,,,,,,,,,Brazil,Dominican Rep.,191396,,,,,,
,,,,,,,,,Brazil,"Other Asia, nes",173065,,,,,,
,,,,,,,,,Brazil,Morocco,100000,,,,,,
,,,,,,,,,Türkiye,Italy,5754503,,,,,,
,,,,,,,,,Türkiye,USA,1230598,,,,,,
,,,,,,,,,Türkiye,Azerbaijan,317193,,,,,,
,,,,,,,,,Türkiye,Egypt,306977,,,,,,
,,,,,,,,,Türkiye,Russian Federation,278938,,,,,,
,,,,,,,,,Türkiye,Spain,240342,,,,,,
,,,,,,,,,Türkiye,Germany,120302,,,,,,
,,,,,,,,,Türkiye,Japan,102100,,,,,,
,,,,,,,,,France,Belgium,53868764.9,,,,,,
,,,,,,,,,France,Germany,26100461,,,,,,
,,,,,,,,,France,Spain,24653851,,,,,,
,,,,,,,,,France,China,19406602.9,,,,,,
,,,,,,,,,France,USA,18999044.7,,,,,,
,,,,,,,,,France,Italy,17563934,,,,,,
,,,,,,,,,France,Netherlands,13559283,,,,,,
,,,,,,,,,France,Türkiye,8834856,,,,,,
,,,,,,,,,France,Poland,6659309,,,,,,
,,,,,,,,,France,"Other Asia, nes",6239855,,,,,,
,,,,,,,,,France,Luxembourg,4698465,,,,,,
,,,,,,,,,France,Rep. of Korea,3849529,,,,,,
,,,,,,,,,France,Egypt,3164659,,,,,,
,,,,,,,,,France,Czechia,3104097,,,,,,
,,,,,,,,,France,United Kingdom,2872807.7,,,,,,
,,,,,,,,,France,India,2673778,,,,,,
,,,,,,,,,France,Austria,2644765,,,,,,
,,,,,,,,,France,Japan,2057747,,,,,,
,,,,,,,,,France,Portugal,1679193,,,,,,
,,,,,,,,,France,Sweden,1625678,,,,,,
,,,,,,,,,France,Saudi Arabia,1622419,,,,,,
,,,,,,,,,France,Canada,1408745.6,,,,,,
,,,,,,,,,France,Thailand,1382860,,,,,,
,,,,,,,,,France,Slovenia,1188815,,,,,,
,,,,,,,,,France,Malaysia,939670,,,,,,
,,,,,,,,,France,Viet Nam,920843,,,,,,
,,,,,,,,,France,South Africa,862500,,,,,,
,,,,,,,,,France,Algeria,730458.2,,,,,,
,,,,,,,,,France,Brazil,694952.3,,,,,,
,,,,,,,,,France,Hungary,674017,,,,,,
,,,,,,,,,France,United Arab Emirates,666400,,,,,,
,,,,,,,,,France,Mexico,638616.2,,,,,,
,,,,,,,,,France,Switzerland,624388.3,,,,,,
,,,,,,,,,France,Sri Lanka,510800,,,,,,
,,,,,,,,,France,Finland,471264,,,,,,
,,,,,,,,,France,Israel,468750,,,,,,
,,,,,,,,,France,"China, Hong Kong SAR",344335,,,,,,
,,,,,,,,,France,Morocco,299720.4,,,,,,
,,,,,,,,,France,Bulgaria,284782,,,,,,
,,,,,,,,,France,Greece,228960,,,,,,
,,,,,,,,,France,Croatia,161311,,,,,,
,,,,,,,,,France,Slovakia,160718,,,,,,
,,,,,,,,,France,Indonesia,146760,,,,,,
,,,,,,,,,France,Bangladesh,132031,,,,,,
,,,,,,,,,France,Cameroon,128768,,,,,,
,,,,,,,,,France,Tunisia,128384,,,,,,
,,,,,,,,,Germany,Netherlands,244612337.1,,,,,,
,,,,,,,,,Germany,France,171386392.5,,,,,,
,,,,,,,,,Germany,Norway,168373006.7,,,,,,
,,,,,,,,,Germany,Italy,109121242.4,,,,,,
,,,,,,,,,Germany,Poland,64043344.2,,,,,,
,,,,,,,,,Germany,United Kingdom,45042098,,,,,,
,,,,,,,,,Germany,Spain,41712400.6,,,,,,
,,,,,,,,,Germany,Sweden,38368447,,,,,,
,,,,,,,,,Germany,Hungary,37431043,,,,,,
,,,,,,,,,Germany,India,29792332,,,,,,
,,,,,,,,,Germany,Türkiye,28122443.9,,,,,,
,,,,,,,,,Germany,China,28039713,,,,,,
,,,,,,,,,Germany,Switzerland,22190200.2,,,,,,
,,,,,,,,,Germany,USA,21989525,,,,,,
,,,,,,,,,Germany,Czechia,16263604.3,,,,,,
,,,,,,,,,Germany,Rep. of Korea,14560999.2,,,,,,
,,,,,,,,,Germany,Belgium,11045600.1,,,,,,
,,,,,,,,,Germany,Austria,10581518.9,,,,,,
,,,,,,,,,Germany,Ireland,10478506.9,,,,,,
,,,,,,,,,Germany,Japan,9809543,,,,,,
,,,,,,,,,Germany,Denmark,7950537.2,,,,,,
,,,,,,,,,Germany,Portugal,6885900.1,,,,,,
,,,,,,,,,Germany,Brazil,5452453,,,,,,
,,,,,,,,,Germany,Slovenia,4285448.7,,,,,,
,,,,,,,,,Germany,"Other Asia, nes",4031021,,,,,,
,,,,,,,,,Germany,Russian Federation,3061180,,,,,,
,,,,,,,,,Germany,Egypt,2938752.5,,,,,,
,,,,,,,,,Germany,Finland,2711965.3,,,,,,
,,,,,,,,,Germany,Morocco,2549567.1,,,,,,
,,,,,,,,,Germany,Mexico,2394567.9,,,,,,
,,,,,,,,,Germany,South Africa,2055324.5,,,,,,
,,,,,,,,,Germany,Malaysia,2005709.5,,,,,,
,,,,,,,,,Germany,United Arab Emirates,1964385.5,,,,,,
,,,,,,,,,Germany,Luxembourg,1863040.3,,,,,,
,,,,,,,,,Germany,Viet Nam,1824907,,,,,,
,,,,,,,,,Germany,Colombia,1395548.9,,,,,,
,,,,,,,,,Germany,Romania,1344114.8,,,,,,
,,,,,,,,,Germany,Slovakia,1328855.1,,,,,,
,,,,,,,,,Germany,Thailand,847958.5,,,,,,
,,,,,,,,,Germany,North Macedonia,742951,,,,,,
,,,,,,,,,Germany,Israel,710123.5,,,,,,
,,,,,,,,,Germany,Saudi Arabia,592096.7,,,,,,
,,,,,,,,,Germany,Ukraine,524557.6,,,,,,
,,,,,,,,,Germany,Argentina,449662,,,,,,
,,,,,,,,,Germany,Greece,336396.2,,,,,,
,,,,,,,,,Germany,Indonesia,324006.7,,,,,,
,,,,,,,,,Germany,Australia,321844,,,,,,
,,,,,,,,,Germany,Ecuador,268190,,,,,,
,,,,,,,,,Germany,Iran,261122,,,,,,
,,,,,,,,,Germany,Bulgaria,230596.8,,,,,,
,,,,,,,,,Germany,Pakistan,213948,,,,,,
,,,,,,,,,Germany,Bosnia Herzegovina,198095,,,,,,
,,,,,,,,,Germany,Singapore,176749.6,,,,,,
,,,,,,,,,Germany,Venezuela,170500,,,,,,
,,,,,,,,,Germany,Kazakhstan,169706.3,,,,,,
,,,,,,,,,Germany,Belarus,158668,,,,,,
,,,,,,,,,Germany,Peru,154543.6,,,,,,
,,,,,,,,,Germany,Nigeria,153600,,,,,,
,,,,,,,,,Germany,Bangladesh,148494,,,,,,
,,,,,,,,,Germany,Uruguay,144527,,,,,,
,,,,,,,,,Germany,Oman,127805,,,,,,
,,,,,,,,,Germany,Serbia,104740.6,,,,,,
,,,,,,,,,Germany,Canada,101319,,,,,,
,,,,,,,,,Germany,Croatia,100009.1,,,,,,
,,,,,,,,,Greece,France,162756669.9,,,,,,
,,,,,,,,,Greece,Italy,87460904,,,,,,
,,,,,,,,,Greece,Romania,87384575,,,,,,
,,,,,,,,,Greece,Azerbaijan,51073000,,,,,,
,,,,,,,,,Greece,Tunisia,33626469,,,,,,
,,,,,,,,,Greece,Türkiye,30501107,,,,,,
,,,,,,,,,Greece,Georgia,24750000,,,,,,
,,,,,,,,,Greece,Netherlands,14261700,,,,,,
,,,,,,,,,Greece,Sweden,11247550,,,,,,
,,,,,,,,,Greece,Poland,7444091,,,,,,
,,,,,,,,,Greece,Finland,5115740,,,,,,
,,,,,,,,,Greece,Bulgaria,4487496,,,,,,
,,,,,,,,,Greece,Germany,3758470,,,,,,
,,,,,,,,,Greece,Spain,3503350,,,,,,
,,,,,,,,,Greece,Slovenia,3019000,,,,,,
,,,,,,,,,Greece,Algeria,2100000,,,,,,
,,,,,,,,,Norway,Italy,18278000,,,,,,
,,,,,,,,,Norway,United Kingdom,3309744,,,,,,
,,,,,,,,,Norway,Finland,3011330,,,,,,
,,,,,,,,,Sweden,Denmark,16441727.1,,,,,,
,,,,,,,,,Sweden,Poland,1206032.3,,,,,,
,,,,,,,,,Sweden,Germany,911184.4,,,,,,
,,,,,,,,,Sweden,Norway,137482.1,,,,,,
,,,,,,,,,Italy,Germany,22246247,,,,,,
,,,,,,,,,Italy,Austria,15999024,,,,,,
,,,,,,,,,Italy,Spain,6243147,,,,,,
,,,,,,,,,Italy,France,5613947,,,,,,
,,,,,,,,,Italy,Poland,1781389,,,,,,
,,,,,,,,,Italy,Slovenia,1416125,,,,,,
,,,,,,,,,Italy,USA,1173426,,,,,,
,,,,,,,,,Italy,Russian Federation,929602,,,,,,
,,,,,,,,,Italy,Sweden,888081,,,,,,
,,,,,,,,,Italy,Czechia,846254,,,,,,
,,,,,,,,,Italy,United Kingdom,630857,,,,,,
,,,,,,,,,Italy,Algeria,579115,,,,,,
,,,,,,,,,Italy,Tunisia,560110,,,,,,
,,,,,,,,,Italy,Bosnia Herzegovina,392920,,,,,,
,,,,,,,,,Italy,Japan,390140,,,,,,
,,,,,,,,,Italy,Türkiye,334682,,,,,,
,,,,,,,,,Italy,Netherlands,324765,,,,,,
,,,,,,,,,Italy,Mexico,309190,,,,,,
,,,,,,,,,Italy,Morocco,205490,,,,,,
,,,,,,,,,Italy,China,180068,,,,,,
,,,,,,,,,Italy,Pakistan,174550,,,,,,
,,,,,,,,,Italy,Australia,168830,,,,,,
,,,,,,,,,Italy,Argentina,153000,,,,,,
,,,,,,,,,Italy,Thailand,149681,,,,,,
,,,,,,,,,Italy,Israel,146555,,,,,,
,,,,,,,,,Italy,Oman,120000,,,,,,
,,,,,,,,,Italy,Hungary,105725,,,,,,
,,,,,,,,,Italy,South Africa,105264,,,,,,
,,,,,,,,,Italy,Egypt,101517,,,,,,
,,,,,,,,,Italy,Switzerland,98120,,,,,,
,,,,,,,,,Spain,Norway,385089100,,,,,,
,,,,,,,,,Spain,Netherlands,170950151.7,,,,,,
,,,,,,,,,Spain,France,69061549,,,,,,
,,,,,,,,,Spain,United Kingdom,47264164.4,,,,,,
,,,,,,,,,Spain,Italy,35155930,,,,,,
,,,,,,,,,Spain,Finland,28913740,,,,,,
,,,,,,,,,Spain,Sweden,22220700,,,,,,
,,,,,,,,,Spain,Türkiye,16701102,,,,,,
,,,,,,,,,Spain,Georgia,15743250,,,,,,
,,,,,,,,,Spain,Portugal,12012345.5,,,,,,
,,,,,,,,,Spain,USA,11444990,,,,,,
,,,,,,,,,Spain,Egypt,7329050,,,,,,
,,,,,,,,,Spain,Morocco,5545646,,,,,,
,,,,,,,,,Spain,Germany,5172591.1,,,,,,
,,,,,,,,,Spain,Tunisia,5031350,,,,,,
,,,,,,,,,Spain,Latvia,4188721,,,,,,
,,,,,,,,,Spain,Israel,1252000,,,,,,
,,,,,,,,,Spain,Luxembourg,1231180,,,,,,
,,,,,,,,,Spain,Australia,530720,,,,,,
,,,,,,,,,Spain,Austria,445302,,,,,,
,,,,,,,,,Spain,Mexico,345382,,,,,,
,,,,,,,,,Spain,Saudi Arabia,302100,,,,,,
,,,,,,,,,Spain,Peru,249600,,,,,,
,,,,,,,,,Spain,Colombia,231687.5,,,,,,
,,,,,,,,,Spain,Japan,216000,,,,,,
,,,,,,,,,Spain,Hungary,168015,,,,,,
,,,,,,,,,Spain,Romania,144927,,,,,,
,,,,,,,,,Spain,Argentina,133200,,,,,,
,,,,,,,,,Spain,Algeria,120000,,,,,,
,,,,,,,,,Spain,Sri Lanka,105550,,,,,,
,,,,,,,,,Spain,Brazil,104380,,,,,,
